Category ID,Name,Attribute Name,Options
11490,Short Dresses,Style,A-line Dress;Beach Dress;Jumper Dress;Pencil Dress;Shift Dress;Shirt Dress;Skater Dress;Smock Dress;Swing Dress;T-shirt Dress;Wrap Dress;
6414,Crop Top,Brand,No Brand;Abercrombie & Fitch;Adidas;Aeropostale;American Apparel;All Would Envy;And Well Dressed;anticlockwise;Banana Republic;bega;Bershka;Bossini;Brandy Melville;bYSI;carrislabelle;Chrome Hearts;Collate The Label;Cotton On;Daintyroses;Dorothy Perkins;Dressabelle;Ellysage;ESPRIT;factorie;Fairebelle;Fash Mob;Fayth;Forever 21;Forever New;French Connection;G.A.P;G2000;Giordano;Guess;H&M;Hang Ten;Her Velvet Vase;HOLLISTER;Hollyhoque;Intoxiquette;Iora;Juicy Couture;Karen Millen;Kikikeli;Lazygirl.co;LBR Label;Leline Style;Levi's;Lexi Lyla;Lily Pirates;Love & Bravery;Love Bonito;Lovengold;Lovet;Lowrys farm;Mango;Marc Jacobs;Mayuki;MDSCOLLECTIONS;Megagamie;MFW;Ministry of Clothing;Miss Selfridge;Mod Parade;MONTIFS;MOONRIVER;Mugigae;Neonmello;New Look;Nike;NINE2FIVE;Ninth Collective;Ohvola;osmose;Pomelo Fashion;Pull&Bear;REFASH;River Island;Runway Bandits;Sabo Skirt;Salient Label;Saturday Club;Seoul in Love;Shop Sassy Dream;Something Borrowed;Sophialuv;StatementMuse;Stylenanda;Sunday Peach;Superdry;Supergurl;Supreme;Tempt;The Closet Lover;The Dancing Jewels;The Editor's Market;The Scarlet Room;The Stage Walk;The Sunday Avenue;The Tinsel Rack;The Velvet Dolls;The Willow Label;theory of seven;Thread Theory;Toki Choi;Tommy Hilfiger;Topazette;TOPSHOP;TresLoveChic;Uniqlo;Urban Outfitters;WAREHOUSE;Wild Peonies;Wonderstellar;younghungryfree;Zara;Nassa;OB Design;Gucci;Under Armour;Tracyinny;PUMA;FILA;TUNEVUSE;Radical Authority;RIPNDIP;Batik Luhur;Champion;paknamae;rocosix;ppgirl;L'zzie;Liva Girl;canmart;Gildan;AAPE;Anne Klein;Vivienne Tam;TEEHEART;Balmain;Motel;Meno Girl;Morgan;MGP Label;Valleygirl;OOTD.SG;The Beverlyn Label;YGeshop;Zalia;LFR;Padini;Bardot;so that's me;Ohsofickle;Charmed on 9th Ave;Zavendar;NaNa De Luxe;Moschino;2XU;The Design Closets;SuncolorA;Him & Jae;Balenciaga;Calvin Klein;Stussy;Chaliz Andrea;Converse;Vain Vibes;Target;LACOSTE;Body Glove;Land’s End;Van Heusen;Alfred Dunner;Talbots;Tommy Bahama;Eddie Bauer;Bizwear;Express Design Studio;Riders by Lee;New York & Company;Brooks Brothers;J.Crew;Daniel Rainn;TINT.SG;13MONTH;Our Second Nature;modelle;Dolce & Gabbana;LOEWE;Miki Yip;LEIA RAY X;FOAT;Catwalkclose;moimoii;Blugirl;Alescere;Hush Puppies;Taiwan Collection;Punk Star;Coach;FYN;One Daisy;Einashop;New Balance;baon;DEAR STALKER;Burberry;LineCense;BORN CHAMPS;ONLY;bibyseob;Evisu;Massimo Dutti;Dickies;Hot Shapers;STAYREAL;Triumph;Purpur;American Eagles Outfitters;Juzcool;OEM;
6414,Crop Top,Material,Nylon;Polyester;Cotton;Spandex;Silk;Rayon;Linen;Lycra;Denim;Leather;Chiffon;
6414,Crop Top,Style,Tunic;Blouse;Peplum;Oversized;Off-shoulder;
6415,T-shirt,Brand,No Brand;Abercrombie & Fitch;Adidas;Aeropostale;American Apparel;All Would Envy;And Well Dressed;anticlockwise;Banana Republic;bega;Bershka;Bossini;Brandy Melville;bYSI;carrislabelle;Chrome Hearts;Collate The Label;Cotton On;Daintyroses;Dorothy Perkins;Dressabelle;Ellysage;ESPRIT;factorie;Fairebelle;Fash Mob;Fayth;Forever 21;Forever New;French Connection;G.A.P;G2000;Giordano;Guess;H&M;Hang Ten;Her Velvet Vase;HOLLISTER;Hollyhoque;Intoxiquette;Iora;Juicy Couture;Karen Millen;Kikikeli;Lazygirl.co;LBR Label;Leline Style;Levi's;Lexi Lyla;Lily Pirates;Love & Bravery;Love Bonito;Lovengold;Lovet;Lowrys farm;Mango;Marc Jacobs;Mayuki;MDSCOLLECTIONS;Megagamie;MFW;Ministry of Clothing;Miss Selfridge;Mod Parade;MONTIFS;MOONRIVER;Mugigae;Neonmello;New Look;Nike;NINE2FIVE;Ninth Collective;Ohvola;osmose;Pomelo Fashion;Pull&Bear;REFASH;River Island;Runway Bandits;Sabo Skirt;Salient Label;Saturday Club;Seoul in Love;Shop Sassy Dream;Something Borrowed;Sophialuv;StatementMuse;Stylenanda;Sunday Peach;Superdry;Supergurl;Supreme;Tempt;The Closet Lover;The Dancing Jewels;The Editor's Market;The Scarlet Room;The Stage Walk;The Sunday Avenue;The Tinsel Rack;The Velvet Dolls;The Willow Label;theory of seven;Thread Theory;Toki Choi;Tommy Hilfiger;Topazette;TOPSHOP;TresLoveChic;Uniqlo;Urban Outfitters;WAREHOUSE;Wild Peonies;Wonderstellar;younghungryfree;Zara;Nassa;OB Design;Gucci;Under Armour;Tracyinny;PUMA;FILA;TUNEVUSE;Radical Authority;RIPNDIP;Batik Luhur;Champion;paknamae;rocosix;ppgirl;L'zzie;Liva Girl;canmart;Gildan;AAPE;Anne Klein;Vivienne Tam;TEEHEART;Balmain;Motel;Meno Girl;Morgan;MGP Label;Valleygirl;OOTD.SG;The Beverlyn Label;YGeshop;Zalia;LFR;Padini;Bardot;so that's me;Ohsofickle;Charmed on 9th Ave;Zavendar;NaNa De Luxe;Moschino;2XU;The Design Closets;SuncolorA;Him & Jae;Balenciaga;Calvin Klein;Stussy;Chaliz Andrea;Converse;Vain Vibes;Target;LACOSTE;Body Glove;Land’s End;Van Heusen;Alfred Dunner;Talbots;Tommy Bahama;Eddie Bauer;Bizwear;Express Design Studio;Riders by Lee;New York & Company;Brooks Brothers;J.Crew;Daniel Rainn;TINT.SG;13MONTH;Our Second Nature;modelle;Dolce & Gabbana;LOEWE;Miki Yip;LEIA RAY X;FOAT;Catwalkclose;moimoii;Blugirl;Alescere;Hush Puppies;Taiwan Collection;Punk Star;Coach;FYN;One Daisy;Einashop;New Balance;baon;DEAR STALKER;Burberry;LineCense;BORN CHAMPS;ONLY;bibyseob;Evisu;Massimo Dutti;Dickies;Hot Shapers;STAYREAL;Triumph;Purpur;American Eagles Outfitters;Juzcool;OEM;
6415,T-shirt,Material,Nylon;Polyester;Cotton;Spandex;Silk;Rayon;Linen;Lycra;Denim;Leather;Chiffon;
6415,T-shirt,Style,Tunic;Blouse;Peplum;Oversized;Off-shoulder;
6416,Blouse,Brand,No Brand;Abercrombie & Fitch;Adidas;Aeropostale;American Apparel;All Would Envy;And Well Dressed;anticlockwise;Banana Republic;bega;Bershka;Bossini;Brandy Melville;bYSI;carrislabelle;Chrome Hearts;Collate The Label;Cotton On;Daintyroses;Dorothy Perkins;Dressabelle;Ellysage;ESPRIT;factorie;Fairebelle;Fash Mob;Fayth;Forever 21;Forever New;French Connection;G.A.P;G2000;Giordano;Guess;H&M;Hang Ten;Her Velvet Vase;HOLLISTER;Hollyhoque;Intoxiquette;Iora;Juicy Couture;Karen Millen;Kikikeli;Lazygirl.co;LBR Label;Leline Style;Levi's;Lexi Lyla;Lily Pirates;Love & Bravery;Love Bonito;Lovengold;Lovet;Lowrys farm;Mango;Marc Jacobs;Mayuki;MDSCOLLECTIONS;Megagamie;MFW;Ministry of Clothing;Miss Selfridge;Mod Parade;MONTIFS;MOONRIVER;Mugigae;Neonmello;New Look;Nike;NINE2FIVE;Ninth Collective;Ohvola;osmose;Pomelo Fashion;Pull&Bear;REFASH;River Island;Runway Bandits;Sabo Skirt;Salient Label;Saturday Club;Seoul in Love;Shop Sassy Dream;Something Borrowed;Sophialuv;StatementMuse;Stylenanda;Sunday Peach;Superdry;Supergurl;Supreme;Tempt;The Closet Lover;The Dancing Jewels;The Editor's Market;The Scarlet Room;The Stage Walk;The Sunday Avenue;The Tinsel Rack;The Velvet Dolls;The Willow Label;theory of seven;Thread Theory;Toki Choi;Tommy Hilfiger;Topazette;TOPSHOP;TresLoveChic;Uniqlo;Urban Outfitters;WAREHOUSE;Wild Peonies;Wonderstellar;younghungryfree;Zara;Nassa;OB Design;Gucci;Under Armour;Tracyinny;PUMA;FILA;TUNEVUSE;Radical Authority;RIPNDIP;Batik Luhur;Champion;paknamae;rocosix;ppgirl;L'zzie;Liva Girl;canmart;Gildan;AAPE;Anne Klein;Vivienne Tam;TEEHEART;Balmain;Motel;Meno Girl;Morgan;MGP Label;Valleygirl;OOTD.SG;The Beverlyn Label;YGeshop;Zalia;LFR;Padini;Bardot;so that's me;Ohsofickle;Charmed on 9th Ave;Zavendar;NaNa De Luxe;Moschino;2XU;The Design Closets;SuncolorA;Him & Jae;Balenciaga;Calvin Klein;Stussy;Chaliz Andrea;Converse;Vain Vibes;Target;LACOSTE;Body Glove;Land’s End;Van Heusen;Alfred Dunner;Talbots;Tommy Bahama;Eddie Bauer;Bizwear;Express Design Studio;Riders by Lee;New York & Company;Brooks Brothers;J.Crew;Daniel Rainn;TINT.SG;13MONTH;Our Second Nature;modelle;Dolce & Gabbana;LOEWE;Miki Yip;LEIA RAY X;FOAT;Catwalkclose;moimoii;Blugirl;Alescere;Hush Puppies;Taiwan Collection;Punk Star;Coach;FYN;One Daisy;Einashop;New Balance;baon;DEAR STALKER;Burberry;LineCense;BORN CHAMPS;ONLY;bibyseob;Evisu;Massimo Dutti;Dickies;Hot Shapers;STAYREAL;Triumph;Purpur;American Eagles Outfitters;Juzcool;OEM;
6416,Blouse,Material,Nylon;Polyester;Cotton;Spandex;Silk;Rayon;Linen;Lycra;Denim;Leather;Chiffon;
6416,Blouse,Style,Tunic;Blouse;Peplum;Oversized;Off-shoulder;
