"Item SKU","Item Name","Item Description (short)","Item UOM","Physical Quantity (Good)","Physical Quantity (Damaged)","Quantity on-hold"
597746,"Curel BB Cream (Brightening) 35g","For good skin condition 365",PIECES,500,0,0
597747,"Curel BB Cream (Natural) 35g",,PIECES,547,0,0
276981,"Curel Body Wash 420ml + Free Refill 360ml","Does your skin react when",PIECES,31,0,0
286116,"Curel Shampoo 420ml","For sensitive, irritated scalp.Curel",PIECES,344,0,0
286117,"Curel Conditioner 420ml","For sensitive, irritated scalp.Curel",PIECES,508,0,0
CU-406203,"Curel Makeup Cleansing Gel 130g","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,703,0,0
CU-456006,"Curel Foaming Wash 150ml","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,845,0,0
CU-406206,"Curel Moisture Lotion 2 150ml","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,357,0,0
CU-406207,"Curel Moisture Lotion 3 ENRICH 150ml","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,161,0,0
CU-406208,"Curel Moisture Face Milk 120ml","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,956,0,0
CU-406209,"Curel Intensive Moisture Cream 40g","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,397,0,0
CU-459522,"Curel UV Protection Milk SPF50+ PA+++ 60ml","<p><img alt=""Curel-UV-ProductDescription.jpg"" src=""https://sg-live.slatic",PIECES,431,0,0
CU-406218,"Curel Trial Kit 2","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,291,0,0
CU-406219,"Curel Trial Kit 3 ENRICH","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,131,0,0
CU-286121,"Curel Instant Foaming Body Wash 480ml","<p><img alt=""Curel-MoistureBodyCareSeriesâ??InstantFoamingBodyWashOnly-ProductDescription.jpg"" src=""https://sg-live",PIECES,514,0,0
CU-286119,"Curel Body Wash 420ml","<p><img alt=""Curel-MoistureBodyCare-ProductDescription.jpg"" src=""https://sg-live.slatic",PIECES,723,0,0
CU-286120,"Curel Moisture Milk 220ml","<p><img alt=""Curel-MoistureBodyCare-ProductDescription.jpg"" src=""https://sg-live.slatic",PIECES,297,0,0
CU-754123,"Curel Moisture Gel Lotion 220ml","<p><img alt=""Curel-MoistureBodyCareSeriesâ??MoistureGelOnly-ProductDescription.jpg"" src=""https://sg-live",PIECES,1260,0,2
CU-406212,"Curel Moisture Cream 90g","<p><img alt=""Curel-MoistureBodyCare-ProductDescription.jpg"" src=""https://sg-live.slatic",PIECES,598,0,0
CU-459675,"Curel Sebum Care Foaming Wash 150ml","<p><img alt=""Curel-Sebum-Care-Product_Description.jpg"" src=""https://sg-live.slatic",PIECES,1265,0,0
CU-459676,"Curel Sebum Care Lotion 150ml","<p><img alt=""Curel-Sebum-Care-Product_Description.jpg"" src=""https://sg-live.slatic",PIECES,236,0,0
CU-459677,"Curel Sebum Care Moisture Gel 120ml","<p><img alt=""Curel-Sebum-Care-Product_Description.jpg"" src=""https://sg-live.slatic",PIECES,171,0,2
CU-459678,"Curel Sebum Care Trial Kit","Dual Function Sensitive Skincare Brand",PIECES,748,0,0
CU-597746,"Curel BB Cream (Brightening) 35g","<p><img alt=""Curel-BB-Cream-Product_Description.jpg"" src=""https://sg-live.slatic",PIECES,500,0,1
CU-597747,"Curel BB Cream (Natural) 35g","<p><img alt=""Curel-BB-Cream-Product_Description.jpg"" src=""https://sg-live.slatic",PIECES,547,0,0
CU-276981,"Curel Body Wash 420ml + Free Refill 360ml","<p><img alt=""Curel-MoistureBodyCare-ProductDescription.jpg"" src=""https://sg-live.slatic",PIECES,31,0,0
CU-286121+754123,"Curel Instant Foaming Body Wash 480ml + Moisture Gel Lotion 220ml","<p><img alt=""Curel-MoistureBodyCareSeriesâ??InstantFoamingBodyWash-MoistureGelOnly-ProductDescription.jpg"" src=""https://sg-live",PIECES,514,0,0
CU-754123x2,"Curel Moisture Gel Lotion 220ml Twin Pack","<p><img alt=""Curel-MoistureBodyCareSeriesâ??MoistureGelOnly-ProductDescription.jpg"" src=""https://sg-live",PIECES,630,0,0
CU-754123x3,"Curel Moisture Gel Lotion 220ml Triple Pack","<p><img alt=""Curel-MoistureBodyCareSeriesâ??MoistureGelOnly-ProductDescription.jpg"" src=""https://sg-live",PIECES,420,0,0
CU-456006x2,"Curel Foaming Wash 150ml Twin Pack","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,422,0,0
CU-406203x2,"Curel Makeup Cleansing Gel 130g Twin Pack","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,351,0,0
CU-406203+456006,"Curel Makeup Cleansing Gel 130g + Curel Foaming Wash 150ml","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,703,0,0
CU-286121+459522,"Curel Instant Foaming Body Wash 480ml + UV Protection Milk SPF 50+ PA+++ 60ml","<p><img alt=""Curel-MoistureBodyCareSeriesâ??InstantFoamingBodyWashOnly-ProductDescription.jpg"" src=""https://sg-live",PIECES,431,0,0
CU-406209x2,"Curel Intensive Moisture Cream 40g Twin Pack","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,198,0,0
CU-406209x3,"Curel Intensive Moisture Cream 40g Triple Pack","<p><img alt="""" src=""https://sg-live.slatic.net/original/57e6b39c68a68e6d67839962dfe0f39a",PIECES,132,0,0
CU-286116,"Curel Shampoo 420ml","<p><img alt=""Curel-DrySkin-ScalpHair-Product_Description.jpg"" src=""https://sg-live.slatic",PIECES,344,0,0
CU-286117,"Curel Conditioner 420ml","<p><img alt=""Curel-DrySkin-ScalpHair-Product_Description.jpg"" src=""https://sg-live.slatic",PIECES,508,0,0
CU-286116+286117,"Curel Shampoo 420ml + Conditioner 420ml ","<p><img alt=""Curel-DrySkin-ScalpHair-Product_Description.jpg"" src=""https://sg-live.slatic",PIECES,344,0,0
CU-286116x2,"Curel Shampoo 420ml Twin Pack","<p><img alt=""Curel-DrySkin-ScalpHair-Product_Description.jpg"" src=""https://sg-live.slatic",PIECES,172,0,0
K-295182x2,"Asience Moisture Rich Conditioner 2x 450ml",,PIECES,1299,0,0
K-295180+295182+295184,"Asience Moisture Rich Shampoo + Conditioner + Treatment",,PIECES,1196,0,0
K-295180+295182+597780,"Asience Moisture Rich Shampoo + Conditioner + Treatment Oil",,PIECES,2598,0,0
K-295180+295182,"Asience Moisture Rich Shampoo + Conditioner 450ml","Asience Moisture Rich Shampoo +",PIECES,2598,0,0
K-295180X2,"Asience Moisture Rich Shampoo 2x 450ml","Asience Moisture Rich Shampoo 2x",PIECES,2122,0,0
K-595429,"Asience Treatment Hair Mask 180g",,PIECES,2779,0,0
K-295181+295183+597781,"Asience Volume Rich  Shampoo + Conditioner + Treatment Milk",,PIECES,1741,0,0
K-295181+295183,"Asience Volume Rich Shampoo + Conditioner 450ml","Asience Volume Rich Shampoo +",PIECES,1741,0,0
K-295181X2,"Asience Volume Rich Shampoo 2x 450ml","Asience Volume Rich Shampoo 2x",PIECES,1711,0,0
K-286117,"Curel Conditioner 420ml","For sensitive, irritated scalp.Curel",PIECES,508,0,0
K-286116,"Curel Shampoo 420ml","For sensitive, irritated scalp.Curel",PIECES,344,0,0
K-286116+286117,"Curel Shampoo 420ml + Conditioner 420ml","For sensitive, irritated scalp.Curel",PIECES,344,0,0
K-286116x2,"Curel Shampoo 420ml Twin Pack","For sensitive, irritated scalp.Curel",PIECES,172,0,0
K-599357+599358,"Essential CC Oil + Night Care Milk Set","Essential CC Oil + Night",PIECES,1785,0,0
K-599357X2,"Essential CC Oil 60ml  x2","Essential CC Oil 60ml  x2",PIECES,892,0,0
K-595860+595872,"Essential Deep Cleansing Care Shampoo + Conditioner 750ml","Essential Deep Cleansing Care Shampoo",PIECES,2,0,0
K-595860X2,"Essential Deep Cleansing Care Shampoo 2x 750ml","Essential Deep Cleansing Care Shampoo",PIECES,1,0,0
K-595859+595871,"Essential Light Finish Volumising Shampoo + Conditioner 750ml","Essential Light Finish Volumising Shampoo",PIECES,2352,0,0
K-596963X2,"Essential Moisturisng Frizz Free Hair Mask 200g  x2","Essential Moisturisng Frizz Free Hair",PIECES,822,0,0
K-595849+595861+599357,"Essential Moisturisng Frizz Free Shampoo + Conditioner + Oil","Essential Moisturisng Frizz Free Shampoo",PIECES,0,0,0
K-595849+595861+597380,"Essential Moisturisng Frizz Free Shampoo + Conditioner + Treatment","Essential Moisturisng Frizz Free Shampoo",PIECES,0,0,0
K-595849+595861,"Essential Moisturisng Frizz Free Shampoo + Conditioner 750ml","Essential Moisturisng Frizz Free Shampoo",PIECES,0,0,0
K-595857X2,"Essential Moisturisng Frizz Free Shampoo 2x 750ml","Essential Moisturisng Frizz Free Shampoo",PIECES,99,0,0
K-599358X2,"Essential Night Care Milk 100ml  x2","Essential Night Care Milk 100ml",PIECES,1227,0,0
K-596964X2,"Essential Nourishing Breakage Defense Hair Mask 200g  x2","Essential Nourishing Breakage Defense Hair",PIECES,1045,0,0
K-595850+595862+599357,"Essential Nourishing Breakage Defense Shampoo + Conditioner + Oil","Essential Nourishing Breakage Defense Shampoo",PIECES,0,0,0
K-595850+595862+597381,"Essential Nourishing Breakage Defense Shampoo + Conditioner + Treatment","Essential Nourishing Breakage Defense Shampoo",PIECES,0,0,0
K-595850+595862,"Essential Nourishing Breakage Defense Shampoo + Conditioner 750ml","Essential Nourishing Breakage Defense Shampoo",PIECES,0,0,0
K-595858X2,"Essential Nourishing Breakage Defense Shampoo 2x 750ml","Essential Nourishing Breakage Defense Shampoo",PIECES,1,0,0
K-294635,"John Frieda Brilliant Brunette Colour Protecting Moisturising Conditioner 250ml","Say goodbye to faded, dry",PIECES,1321,0,0
K-294634,"John Frieda Brilliant Brunette Colour Protecting Moisturising Shampoo 250ml","Don't fade away.Protecting Moisturising",PIECES,1076,0,0
K-294634+294635,"John Frieda Brilliant Brunette Colour Protecting Shampoo & Conditioner Set","Don't fade away.Protecting Moisturising",PIECES,1076,0,0
K-294636+294637+294640,"John Frieda Brilliant Brunette Visibly Brighter Complete Set","Give your brunette hair a",PIECES,1446,0,0
K-294640,"John Frieda Brilliant Brunette Visibly Brighter In-shower Lightening Treatment 34ml","It’s time to give Brunettes",PIECES,4366,0,0
K-294640x2,"John Frieda Brilliant Brunette Visibly Brighter In-shower Lightening Treatment 34ml x2","It’s time to give Brunettes",PIECES,2183,0,0
K-294636+294637,"John Frieda Brilliant Brunette Visibly Brighter Shampoo & Conditioner Set","Give your brunette hair a",PIECES,1446,0,0
K-294637,"John Frieda Brilliant Brunette Visibly Brighter Subtle Lightening Conditioner 250ml","Hydrate your hair with a",PIECES,1446,0,0
K-294636,"John Frieda Brilliant Brunette Visibly Brighter subtle Lightening Shampoo 250ml","Give your brunette hair a",PIECES,1566,0,0
K-278318,"John Frieda Frizz Ease  Nourishing Oil Elixir 100ml","Nourishes hair for exceptional salon-softness",PIECES,1779,0,0
K-286175,"John Frieda Frizz Ease 10 Day Tamer (Pre-wash Treatment) 150ml","Fight frizzy hair with this",PIECES,1744,0,0
K-278316,"John Frieda Frizz Ease Flawless Straight Conditioner 250ml","Smoothes, softens and aligns frizzy",PIECES,1325,0,0
K-278315+278316+278318,"John Frieda Frizz Ease Flawless Straight Shampoo & Conditioner + Oil Elixir","Flawless Straight Shampoo & Conditioner",PIECES,1193,0,0
K-278315+278316+278317,"John Frieda Frizz Ease Flawless Straight Shampoo & Conditioner + Original Serum","Flawless Straight Shampoo & Conditioner",PIECES,1193,0,0
K-278315+278316,"John Frieda Frizz Ease Flawless Straight Shampoo & Conditioner Set ","Smoothes, softens and aligns frizzy",PIECES,1193,0,0
K-278315,"John Frieda Frizz Ease Flawless Straight Shampoo 250ml","Smoothes, softens and aligns frizzy",PIECES,1193,0,0
K-278178+278179+286175,"John Frieda Frizz Ease Forever Smooth Anti Frizz Set (+ 10 Day Tamer)","Experience a new generation of",PIECES,1513,0,0
K-278179,"John Frieda Frizz Ease Forever Smooth Conditioner 250ml","Experience a new generation of",PIECES,1513,0,0
K-278178+278179+278318,"John Frieda Frizz Ease Forever Smooth Shampoo & Conditioner + Oil Elixir","Experience a new generation of",PIECES,1513,0,0
K-278178+278179+278317,"John Frieda Frizz Ease Forever Smooth Shampoo & Conditioner + Original Serum","Experience a new generation of",PIECES,1377,0,0
K-278178+278179,"John Frieda Frizz Ease Forever Smooth Shampoo & Conditioner Set","Experience a new generation of",PIECES,1513,0,0
K-278178,"John Frieda Frizz Ease Forever Smooth Shampoo 250ml","Experience a new generation of",PIECES,1587,0,0
K-278181+278183+297631,"John Frieda Frizz Ease Miraculous Recovery Complete Set 1 (+ Crème Serum)","Repair the look and feel",PIECES,1252,0,0
K-278181+278183+278319,"John Frieda Frizz Ease Miraculous Recovery Complete Set 2 (+ Deep Conditioner)","Repair the look and feel",PIECES,791,0,0
K-278183,"John Frieda Frizz Ease Miraculous Recovery Conditioner 250ml","Repair the look and feel",PIECES,1508,0,0
K-297631,"John Frieda Frizz Ease Miraculous Recovery Crème Serum 50ml","Intense repair formula visibly transforms",PIECES,2488,0,0
K-278319,"John Frieda Frizz Ease Miraculous Recovery Deep Conditioner 150ml","Saturates, quenches and replenishes to",PIECES,791,0,0
K-278181+278183,"John Frieda Frizz Ease Miraculous Recovery Shampoo & Conditioner Set","Repair the look and feel",PIECES,1252,0,0
